,lat,long,satellite,time_utc,date,source,provinsi,kab_kota,kec2006,desaa2006,nama_kaw
396,1.0440200000000002,100.04299999999999,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,SUMATERA UTARA,PADANG LAWAS,SOSA,MANANTI SOSA JAE,
397,-0.193177,101.695,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,RIAU,PELALAWAN,KECAMATAN PANGKALAN KURAS,SEGATI,TN TESSO NILO
398,-0.949045,102.23700000000001,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,JAMBI,TEBO,VII KOTO,PASEBAN,
399,2.02195,99.2698,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,SUMATERA UTARA,TAPANULI UTARA,GAROGA,SIBAGANDING,
400,1.7947799999999998,98.6726,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,SUMATERA UTARA,TAPANULI TENGAH,KOLANG,UPT.II RAWA MUNGKUR,
401,1.8892400000000003,100.804,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,RIAU,ROKAN HILIR,KECAMATAN BANGKO PUSAKO,SUAK TEMENGGUNG,
402,2.19214,100.34899999999999,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,SUMATERA UTARA,LABUHANBATU SELATAN,KAMPUNG RAKYAT,TANJUNG MULIA,
403,-2.22399,103.102,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,JAMBI,SAROLANGUN,MANDIANGIN,GURUH BARU,
404,2.14283,100.87200000000001,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,RIAU,ROKAN HILIR,KECAMATAN BANGKO,BAGAN TIMUR,
405,-2.35745,100.931,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,SUMATERA BARAT,PESISIR SELATAN,LUNANG SILAUT,SILAUT,
406,-2.79066,103.544,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,SUMATERA SELATAN,MUSIBANYUASIN,BABAT TOMAN,SEREKA,
407,0.21619699999999997,100.51700000000001,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,SUMATERA BARAT,LIMAPULUHKOTO,XIII KOTO KAMPAR,SIBIRUANG,
408,0.61611,100.081,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,SUMATERA BARAT,KOTA PASAMAN,RAO,LANGUANG SEPAKAT,
409,0.628671,100.104,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,SUMATERA BARAT,KOTA PASAMAN,RAO,LANGUANG SAIYO,
411,0.880036,100.461,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,RIAU,ROKAN HULU,KECAMATAN RAMBAH SAMO,RAMBAH HILIR,
412,0.666142,101.285,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,RIAU,KAMPAR,KECAMATAN TAPUNG HILIR,KOTA GARO,
413,0.651993,101.302,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,RIAU,KAMPAR,KECAMATAN TAPUNG HILIR,KOTA GARO,
414,0.407991,100.705,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,RIAU,ROKAN HULU,KECAMATAN KABUN,KOTO RANAH,HL. BUKIT SULIGI
415,0.442791,100.475,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,RIAU,KAMPAR,KECAMATAN XIII KOTO KAMPAR,ROKAN,
416,-1.79846,104.009,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,JAMBI,MUAROJAMBI,BAYUNG LENCIR,MUARA MEDAK,
417,0.618581,100.09700000000001,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,SUMATERA BARAT,KOTA PASAMAN,RAO,LANGUANG SEPAKAT,
418,0.417651,100.711,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,RIAU,ROKAN HULU,KECAMATAN KABUN,KOTO RANAH,HL. BUKIT SULIGI
419,-2.56324,102.794,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,SUMATERA SELATAN,MUSIRAWAS,RUPIT,KARANG ANYAR,
420,-2.92884,101.723,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,BENGKULU,MUKO-MUKO,PUTRI HIJAU,HUTAN,
421,-2.42191,103.229,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,SUMATERA SELATAN,MUSIBANYUASIN,BATANGHARI LEKO,SAKO SUBAN,
422,-2.41249,105.15299999999999,LPN-NPP,06:10:22 AM,2016-07-07,LAPAN,SUMATERA SELATAN,BANYUASIN,MUARA PADANG,GILIRANG,
