Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
-0.128567,101.723,LPN-NPP,06:29:45 AM,20160807,LAPAN,RIAU,PELALAWAN,KECAMATAN PANGKALAN KURAS,SEGATI,TN TESSO NILO
-3.23051,103.42,LPN-NPP,06:50:06 AM,20160806,LAPAN,SUMATERA SELATAN,MUSIRAWAS,MUARA LAKITAN,PENDINGAN,
-9.91721,120.378,LPN-NPP,05:07:41 AM,20160806,LAPAN,NUSA TENGGARA TIMUR,SUMBA TIMUR,KAHAUNGU ETI,KAMBATA BUNDUNG,
-10.2327,123.691,LPN-NPP,05:26:36 AM,20160805,LAPAN,NUSA TENGGARA TIMUR,KUPANG,KUPANG TENGAH,BAUMATA,
-2.40514,112.166,LPN-NPP,05:45:32 AM,20160804,LAPAN,KALIMANTAN TENGAH,SERUYAN,HANAU,DERANGGA,
0.952809,109.996,LPN-NPP,05:45:32 AM,20160804,LAPAN,KALIMANTAN BARAT,LANDAK,AIR BESAR,SEMPATUNG LAWEK,CA NIYUT PENRISSEN
-1.64766,110.287,LPN-NPP,05:33:00 AM,20160810,LAPAN,KALIMANTAN BARAT,KETAPANG,MATAN HILIR UTARA,ULAK MEDANG,
-2.32025,111.469,LPN-NPP,05:33:00 AM,20160810,LAPAN,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,KOTAWARINGIN LAMA,RIAM DURIAN,
-0.481927,110.469,LPN-NPP,05:33:00 AM,20160810,LAPAN,KALIMANTAN BARAT,KETAPANG,SIMPANG HULU,MERAWA,
1.43284,115.402,LPN-NPP,05:33:00 AM,20160810,LAPAN,KALIMANTAN UTARA,MALINAU,KAYAN HULU,LONG LEBUSAN,
-5.24826,119.435,LPN-NPP,05:33:00 AM,20160810,LAPAN,SULAWESI SELATAN,GOWA,BAJENG,PANCIRO,
1.56878,101.482,LPN-NPP,18:37:13 PM,20160809,LAPAN,RIAU,DUMAI,KECAMATAN BUKIT KAPUR,BUKIT DATUK,
1.56939,99.3602,LPN-NPP,18:37:13 PM,20160809,LAPAN,SUMATERA UTARA,TAPANULI SELATAN,SIPIROK,SABA TARUTUNG,
0.819072,110.374,LPN-NPP,05:51:54 AM,20160809,LAPAN,KALIMANTAN BARAT,SANGGAU,SEKAYAN,ENGKAHAN,
0.822608,110.358,LPN-NPP,05:51:54 AM,20160809,LAPAN,KALIMANTAN BARAT,SANGGAU,SEKAYAN,ENGKAHAN,
0.643114,110.286,LPN-NPP,05:51:54 AM,20160809,LAPAN,KALIMANTAN BARAT,SANGGAU,BEDUWAI,SEI ILAI,
1.55907,101.478,LPN-NPP,05:51:54 AM,20160809,LAPAN,RIAU,DUMAI,KECAMATAN BUKIT KAPUR,BUKIT DATUK,
-2.82466,103.284,LPN-NPP,05:51:54 AM,20160809,LAPAN,SUMATERA SELATAN,MUSIRAWAS,MUARA LAKITAN,PRABUMULIH II,
-9.40553,119.338,LPN-NPP,05:51:54 AM,20160809,LAPAN,NUSA TENGGARA TIMUR,SUMBA BARAT,LAURA,RAMA DANA,
-2.57502,121.38,LPN-NPP,17:13:43 PM,20160808,LAPAN,SULAWESI SELATAN,LUWU TIMUR,NUHA,MAGANI,
-2.03597,105.795,LPN-NPP,06:23:23 AM,20160802,LAPAN,BANGKA BELITUNG,BANGKA,PUDING BESAR,SAING,
-0.98152,102.28,LPN-NPP,06:23:23 AM,20160802,LAPAN,JAMBI,TEBO,SUMAY,PEMAYONGAN,
0.385506,100.279,LPN-NPP,06:23:23 AM,20160802,LAPAN,SUMATERA BARAT,KOTA PASAMAN,MAPAT TUNGGUL,MUARO SUNGAI LOLO,
1.96202,99.6416,LPN-NPP,06:43:43 AM,20160801,LAPAN,SUMATERA UTARA,PADANG LAWAS UTARA,DOLOK,SIMAMBAL,
-10.2319,123.621,LPN-NPP,05:13:51 AM,20160726,LAPAN,NUSA TENGGARA TIMUR,KUPANG,MAULAFA,SIKUMANA,
